Run#,T(°C),Phase,#,SiO2,Si Std,TiO2,Ti Std,Cr2O3,Cr Std,Al2O3,Al Std,FeO,Fe Std,MnO,Mn Std,NiO,Ni Std,MgO,Mg Std,CaO,Ca Std,Na2O,Na Std,K2O,K Std,P2O5,P Std,Total,xMg,
,,plg,31,48.84,-102,0.02,-1,n.d.,,34.09,-104,0.48,-8,0.01,-1,n.d.,,0.02,-1,16.97,-58,2.07,-16,0.07,-1,0.01,-1,102.7,,0.819
,,ilm,13,0.04,-1,43.46,-124,n.d.,,0.65,-5,51.5,-115,0.4,-3,n.d.,,2.34,-10,0.17,-2,0.01,-1,0.02,-1,0,,98.37,0.063,
PU1065,850,glass,29,58.74,-30,0.38,-3,n.d.,,16.32,-27,2.65,-12,0.06,-3,n.d.,,0.68,-3,4.68,-6,2.92,-5,2.13,-4,0.19,-4,88.75,0.314,
,,gar,35,38.5,-55,1.21,-16,n.d.,,21.43,-26,23.42,-41,1.46,-12,n.d.,,5.42,-27,8.92,-43,0.04,-1,0.01,-1,0.07,-2,100.48,0.29,
,,plg,22,49.2,-40,0.03,-1,n.d.,,33.29,-57,0.23,-3,0.01,-1,n.d.,,0.01,-1,16.1,-52,2.39,-13,0.08,-1,0.03,-1,101.37,,0.788
,,ilm,8,0.13,-3,51.9,-15,n.d.,,0.28,-2,43.09,-8,0.41,-2,n.d.,,2.65,-5,0.17,-2,0.02,-2,0.02,-1,0.02,-2,98.68,0.099,
,,apa,6,0.31,-14,n.d.,,n.d.,,0.06,-5,0.73,-7,n.d.,,n.d.,,0.2,-3,53.8,-33,n.d.,,n.d.,,45.07,-34,99.92,,
PU1067,800,glass,12,59.77,-65,0.18,-4,n.d.,,14.49,-13,1.65,-5,0.03,-2,n.d.,,0.34,-2,3.1,-2,3.46,-5,2.62,-5,0.11,-2,85.75,0.268,
,,amp,17,43.21,-125,1.68,-19,n.d.,,15.05,-90,18.77,-66,0.37,-8,n.d.,,7.63,-36,9.92,-28,1.9,-7,0.81,-12,n.d.,,99.35,0.42,
,,gar,19,38.26,-84,1.03,-14,n.d.,,21.13,-28,25.46,-57,1.64,-17,n.d.,,3.54,-27,9.26,-62,n.d.,,n.d.,,n.d.,,100.32,0.198,
,,plg,18,56.22,-65,n.d.,,n.d.,,29.95,-56,0.24,-7,n.d.,,n.d.,,n.d.,,11.54,-41,5.41,-26,0.04,-3,n.d.,,103.41,,0.541
,,ilm,10,0.38,-6,49.45,-67,n.d.,,0.41,-4,48.45,-80,0.3,-9,n.d.,,0.3,-9,1.37,-5,0.16,-4,n.d.,,n.d.,,100.51,0.048,
PU1071,750,glass,18,61.5,-24,0.06,-2,n.d.,,13.64,-8,0.86,-9,0.08,-2,n.d.,,0.37,-2,2.56,-7,2.96,-10,2.94,-7,0.1,-3,85.01,0.434,
,,gar,16,35.99,-83,0.03,-3,n.d.,,20.49,-36,34.64,-50,1.84,-14,n.d.,,2.74,-9,0.8,-5,n.d.,,n.d.,,n.d.,,96.52,0.124,
,,plg,18,54.61,-83,n.d.,,n.d.,,27.25,-25,0.22,-8,n.d.,,n.d.,,n.d.,,10.05,-20,5.43,-9,0.03,-2,n.d.,,97.58,,0.506
,,mag,14,0.32,-9,18.37,-179,n.d.,,0.99,-17,67.75,-115,0.25,-10,n.d.,,0.13,-4,0.49,-7,n.d.,,n.d.,,n.d.,,88.3,0.003,
